ModelId	State	LabelName
0-0-0-man	1	
0-2342-1-man	8	
0.0.0.0-10.0.0.45--arp	22.S000000000000000000000000S.W000000000000000000000W.	
10.0.0.45-0.0.0.1--igmp	11.R*R.R00000000000000000000000R.r.R.R000000000000000000000R.R,R.W,T.R,R.R*R.R.R.R,r,R.R*R.R0000000000000000R.R.R.	
10.0.0.45-1.1.1.1-80-tcp	22*S.B.S.S000000000000000000000000S.	
10.0.0.45-10.0.0.255-137-udp	9900z0z0I0i0I0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0I0z0z0i0i0i0i0i0i0i0i0i0i0i0i0i0	
10.0.0.45-10.0.0.255-17500-udp	990i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0i0	
10.0.0.45-10.121.114.219-33590-udp	2	
10.0.0.45-10.2.115.11-43435-udp	9	
10.0.0.45-101.182.252.49-48113-tcp	5	
10.0.0.45-103.15.158.193-80-tcp	96.	
10.0.0.45-103.23.84.125-54481-udp	2	
10.0.0.45-103.245.222.175-80-tcp	9	
10.0.0.45-103.245.222.249-80-tcp	96.Z*	
10.0.0.45-103.40.110.162-80-tcp	86.	
10.0.0.45-104.155.17.125-80-tcp	96.	
10.0.0.45-104.155.28.211-80-tcp	9	
10.0.0.45-104.155.40.37-80-tcp	9	
10.0.0.45-104.155.57.101-80-tcp	96.	
10.0.0.45-104.156.81.134-80-tcp	96.	
10.0.0.45-104.16.12.8-80-tcp	9	
10.0.0.45-104.16.13.8-80-tcp	96.w.	
10.0.0.45-104.16.16.35-80-tcp	9600W.F.w.	
10.0.0.45-104.16.17.35-80-tcp	66.w.	
10.0.0.45-104.16.22.35-443-tcp	9	
10.0.0.45-104.16.22.35-80-tcp	66.z.	
10.0.0.45-104.16.23.235-80-tcp	66.	
10.0.0.45-104.16.23.35-80-tcp	99,W.	
10.0.0.45-104.16.24.235-443-tcp	96.	
10.0.0.45-104.16.24.235-80-tcp	96.F.W*W.W0Z.Z*W.W*	
10.0.0.45-104.16.25.235-80-tcp	96.W,W.f.Z0000000000000000000000	
10.0.0.45-104.16.25.35-443-tcp	96.	
10.0.0.45-104.16.26.235-80-tcp	96.Z00W.W*W.Z0000000000000000z00000W.	
10.0.0.45-104.16.27.235-80-tcp	96.W*W.w.Z0W.	
10.0.0.45-104.172.112.194-59551-tcp	9	
10.0.0.45-104.172.112.194-59551-udp	6	
10.0.0.45-104.173.81.73-3759-tcp	8	
10.0.0.45-104.197.11.112-80-tcp	9900000000000	
10.0.0.45-104.40.141.105-443-tcp	45.v,v+u+u*v0V.v.u,v+u+v*v0U.v.v,u+v+v*u0U.u.u,u+u+u*v0u00V.u,u+v+v*u0u*U.u,v+u+u*u0v*V.u,u+u+u*u0V000000000v0000000000000000V*V00V.u,v+v+u*U0000V.u.v,v+v+v*u0V.u.u,u+v+u*v0u*U.v,u+u+v*u0u00U.u,u+u+u*u0U.v.u,u+v+v*u0V,U.u,u+u+u*	
10.0.0.45-104.40.82.121-80-tcp	58.	
10.0.0.45-104.40.90.64-80-tcp	99.w.	
10.0.0.45-104.41.202.26-80-tcp	99*Z000000W.	
10.0.0.45-104.45.95.61-80-tcp	96,W*W.W,W.Z000000W.F.	
10.0.0.45-105.157.146.154-57277-udp	2	
10.0.0.45-106.186.114.224-80-tcp	85.	
10.0.0.45-107.178.240.89-80-tcp	96.	
10.0.0.45-107.20.132.96-443-tcp	88*Y,Y.Y,	
10.0.0.45-107.20.139.156-443-tcp	96.Z*z*W.	
10.0.0.45-107.20.139.156-80-tcp	99.W.Z000W.Z00000000000000W.Z*W.Z*W.	
10.0.0.45-107.20.146.1-80-tcp	96.	
10.0.0.45-107.20.159.216-443-tcp	8	
10.0.0.45-107.20.172.55-80-tcp	99.W,W.	
10.0.0.45-107.20.207.230-443-tcp	96.Z*W.	
10.0.0.45-107.20.207.230-80-tcp	99*	
10.0.0.45-107.20.240.78-443-tcp	990000000000000000000W.Z*W.	
10.0.0.45-107.20.240.78-80-tcp	96.Z0000W.Z*W.Z*I*W.Z0000000000000W.Z*W.	
10.0.0.45-107.20.245.242-443-tcp	96.	
10.0.0.45-107.20.245.242-80-tcp	96.Z0000000W.	
10.0.0.45-107.20.247.146-80-tcp	96.	
10.0.0.45-107.20.249.241-443-tcp	99*z+Z00000000000000000000000000000000000000000	
10.0.0.45-107.20.249.243-443-tcp	8	
10.0.0.45-107.21.110.202-80-tcp	9	
10.0.0.45-107.21.115.134-443-tcp	8	
10.0.0.45-107.21.118.240-443-tcp	88*y*	
10.0.0.45-107.21.16.231-80-tcp	96.Z,Z.Z.Z.Z.Z.	
10.0.0.45-107.21.20.3-80-tcp	69.	
10.0.0.45-107.21.200.223-80-tcp	88,	
10.0.0.45-107.21.202.67-80-tcp	85.y.V+E+	
10.0.0.45-107.21.209.34-80-tcp	96.	
10.0.0.45-107.21.21.230-80-tcp	66.Z,Z.W+	
10.0.0.45-107.21.224.154-443-tcp	9	
10.0.0.45-107.21.231.245-443-tcp	8	
10.0.0.45-107.21.235.86-443-tcp	8	
10.0.0.45-107.21.248.242-80-tcp	86.	
10.0.0.45-107.21.249.100-80-tcp	88*W.	
10.0.0.45-107.21.249.145-80-tcp	86.	
10.0.0.45-107.21.249.50-80-tcp	86.W.	
10.0.0.45-107.21.250.221-80-tcp	68.	
10.0.0.45-107.21.254.36-80-tcp	99*	
10.0.0.45-107.21.39.53-80-tcp	99,W.	
10.0.0.45-107.21.92.87-443-tcp	88.y.I.z.Z0I*Z.Z0	
10.0.0.45-107.22.166.130-80-tcp	96.Z+	
10.0.0.45-107.22.178.38-443-tcp	89,Z*z00Z.	
10.0.0.45-107.22.181.200-443-tcp	96.	
10.0.0.45-107.22.184.136-443-tcp	9	
10.0.0.45-107.22.184.136-80-tcp	96.Z00W.Z000W.Z0W.Z*W.Z*W.	
